DATE,MONTH,CLIENT GROUP,MEASURE,VALUE
2018-04-30,Apr18,Number of clients accommodated in short-term/emergency accommodation,,1361.0
2018-04-30,Apr18,Number of clients financially assisted with payments for short term/emergency accommodation,,61.0
2018-04-30,Apr18,Number of clients who are at risk of homelessness,,3041.0
2018-04-30,Apr18,Number of clients who are homeless,,2315.0
2018-04-30,Apr18,Number of clients who have experienced family and domestic violence,,2494.0
2018-04-30,Apr18,Number of clients with a current mental health issue,,1461.0
2018-04-30,Apr18,Number of clients with problematic drug or alcohol issues,,717.0
2018-04-30,Apr18,Number of indigenous clients,,2213.0
2018-04-30,Apr18,Number of nights in short-term/emergency accommodation,,17122.0
2019-04-30,Apr19,Number of clients accommodated in short-term/emergency accommodation,,1699.0
2019-04-30,Apr19,Number of clients financially assisted with payments for short term/emergency accommodation,,48.0
2019-04-30,Apr19,Number of clients who are at risk of homelessness,,3552.0
2019-04-30,Apr19,Number of clients who are homeless,,2606.0
2019-04-30,Apr19,Number of clients who have experienced family and domestic violence,,2841.0
2019-04-30,Apr19,Number of clients with a current mental health issue,,1605.0
2019-04-30,Apr19,Number of clients with problematic drug or alcohol issues,,761.0
2019-04-30,Apr19,Number of indigenous clients,,2664.0
2019-04-30,Apr19,Number of nights in short-term/emergency accommodation,,19367.0
2020-04-30,Apr20,Number of clients accommodated in short-term/emergency accommodation,,1317.0
2020-04-30,Apr20,Number of clients financially assisted with payments for short term/emergency accommodation,,90.0
2020-04-30,Apr20,Number of clients who are at risk of homelessness,,2911.0
2020-04-30,Apr20,Number of clients who are homeless,,2391.0
2020-04-30,Apr20,Number of clients who have experienced family and domestic violence,,2454.0
2020-04-30,Apr20,Number of clients with a current mental health issue,,1628.0
2020-04-30,Apr20,Number of clients with problematic drug or alcohol issues,,728.0
2020-04-30,Apr20,Number of indigenous clients,,2138.0
2020-04-30,Apr20,Number of nights in short-term/emergency accommodation,,17221.0
2021-04-30,Apr21,Number of clients accommodated in short-term/emergency accommodation,,1671.0
2021-04-30,Apr21,Number of clients financially assisted with payments for short term/emergency accommodation,,110.0
2021-04-30,Apr21,Number of clients who are at risk of homelessness,,3548.0
2021-04-30,Apr21,Number of clients who are homeless,,2924.0
2021-04-30,Apr21,Number of clients who have experienced family and domestic violence,,3141.0
2021-04-30,Apr21,Number of clients with a current mental health issue,,1933.0
2021-04-30,Apr21,Number of clients with problematic drug or alcohol issues,,841.0
2021-04-30,Apr21,Number of indigenous clients,,2820.0
2021-04-30,Apr21,Number of nights in short-term/emergency accommodation,,22896.0
2022-04-30,Apr22,Number of clients accommodated in short-term/emergency accommodation,,1415.0
2022-04-30,Apr22,Number of clients financially assisted with payments for short term/emergency accommodation,,83.0
2022-04-30,Apr22,Number of clients who are at risk of homelessness,,3078.0
2022-04-30,Apr22,Number of clients who are homeless,,2972.0
2022-04-30,Apr22,Number of clients who have experienced family and domestic violence,,2850.0
2022-04-30,Apr22,Number of clients with a current mental health issue,,1725.0
2022-04-30,Apr22,Number of clients with problematic drug or alcohol issues,,685.0
2022-04-30,Apr22,Number of indigenous clients,,2713.0
2022-04-30,Apr22,Number of nights in short-term/emergency accommodation,,19121.0
2023-04-30,Apr23,Number of clients accommodated in short-term/emergency accommodation,,1591.0
2023-04-30,Apr23,Number of clients financially assisted with payments for short term/emergency accommodation,,72.0
2023-04-30,Apr23,Number of clients who are at risk of homelessness,,3635.0
2023-04-30,Apr23,Number of clients who are homeless,,3189.0
2023-04-30,Apr23,Number of clients who have experienced family and domestic violence,,3320.0
2023-04-30,Apr23,Number of clients with a current mental health issue,,1877.0
2023-04-30,Apr23,Number of clients with problematic drug or alcohol issues,,737.0
2023-04-30,Apr23,Number of indigenous clients,,3156.0
2023-04-30,Apr23,Number of nights in short-term/emergency accommodation,,21759.0
2017-08-31,Aug17,Number of clients accommodated in short-term/emergency accommodation,,1386.0
2017-08-31,Aug17,Number of clients financially assisted with payments for short term/emergency accommodation,,85.0
2017-08-31,Aug17,Number of clients who are at risk of homelessness,,3173.0
2017-08-31,Aug17,Number of clients who are homeless,,2353.0
2017-08-31,Aug17,Number of clients who have experienced family and domestic violence,,2606.0
2017-08-31,Aug17,Number of clients with a current mental health issue,,1504.0
2017-08-31,Aug17,Number of clients with problematic drug or alcohol issues,,743.0
2017-08-31,Aug17,Number of indigenous clients,,2149.0
2017-08-31,Aug17,Number of nights in short-term/emergency accommodation,,16443.0
2018-08-31,Aug18,Number of clients accommodated in short-term/emergency accommodation,,1427.0
2018-08-31,Aug18,Number of clients financially assisted with payments for short term/emergency accommodation,,77.0
2018-08-31,Aug18,Number of clients who are at risk of homelessness,,3238.0
2018-08-31,Aug18,Number of clients who are homeless,,2373.0
2018-08-31,Aug18,Number of clients who have experienced family and domestic violence,,2783.0
2018-08-31,Aug18,Number of clients with a current mental health issue,,1640.0
2018-08-31,Aug18,Number of clients with problematic drug or alcohol issues,,769.0
2018-08-31,Aug18,Number of indigenous clients,,2281.0
2018-08-31,Aug18,Number of nights in short-term/emergency accommodation,,18065.0
2019-08-31,Aug19,Number of clients accommodated in short-term/emergency accommodation,,1953.0
2019-08-31,Aug19,Number of clients financially assisted with payments for short term/emergency accommodation,,51.0
2019-08-31,Aug19,Number of clients who are at risk of homelessness,,3691.0
2019-08-31,Aug19,Number of clients who are homeless,,2487.0
2019-08-31,Aug19,Number of clients who have experienced family and domestic violence,,2906.0
2019-08-31,Aug19,Number of clients with a current mental health issue,,1643.0
2019-08-31,Aug19,Number of clients with problematic drug or alcohol issues,,739.0
2019-08-31,Aug19,Number of indigenous clients,,2812.0
2019-08-31,Aug19,Number of nights in short-term/emergency accommodation,,18968.0
2020-08-31,Aug20,Number of clients accommodated in short-term/emergency accommodation,,1736.0
2020-08-31,Aug20,Number of clients financially assisted with payments for short term/emergency accommodation,,72.0
2020-08-31,Aug20,Number of clients who are at risk of homelessness,,3187.0
2020-08-31,Aug20,Number of clients who are homeless,,2556.0
2020-08-31,Aug20,Number of clients who have experienced family and domestic violence,,2608.0
2020-08-31,Aug20,Number of clients with a current mental health issue,,1711.0
2020-08-31,Aug20,Number of clients with problematic drug or alcohol issues,,796.0
2020-08-31,Aug20,Number of indigenous clients,,2589.0
2020-08-31,Aug20,Number of nights in short-term/emergency accommodation,,20132.0
2021-08-31,Aug21,Number of clients accommodated in short-term/emergency accommodation,,1735.0
2021-08-31,Aug21,Number of clients financially assisted with payments for short term/emergency accommodation,,113.0
2021-08-31,Aug21,Number of clients who are at risk of homelessness,,3495.0
2021-08-31,Aug21,Number of clients who are homeless,,2979.0
2021-08-31,Aug21,Number of clients who have experienced family and domestic violence,,3024.0
2021-08-31,Aug21,Number of clients with a current mental health issue,,1891.0
2021-08-31,Aug21,Number of clients with problematic drug or alcohol issues,,813.0
2021-08-31,Aug21,Number of indigenous clients,,2974.0
2021-08-31,Aug21,Number of nights in short-term/emergency accommodation,,21696.0
2022-08-31,Aug22,Number of clients accommodated in short-term/emergency accommodation,,1736.0
2022-08-31,Aug22,Number of clients financially assisted with payments for short term/emergency accommodation,,72.0
2022-08-31,Aug22,Number of clients who are at risk of homelessness,,3351.0
2022-08-31,Aug22,Number of clients who are homeless,,3239.0
2022-08-31,Aug22,Number of clients who have experienced family and domestic violence,,3118.0
2022-08-31,Aug22,Number of clients with a current mental health issue,,1807.0
2022-08-31,Aug22,Number of clients with problematic drug or alcohol issues,,795.0
2022-08-31,Aug22,Number of indigenous clients,,3133.0
2022-08-31,Aug22,Number of nights in short-term/emergency accommodation,,22327.0
2017-12-31,Dec17,Number of clients accommodated in short-term/emergency accommodation,,1472.0
2017-12-31,Dec17,Number of clients financially assisted with payments for short term/emergency accommodation,,69.0
2017-12-31,Dec17,Number of clients who are at risk of homelessness,,3184.0
2017-12-31,Dec17,Number of clients who are homeless,,2168.0
2017-12-31,Dec17,Number of clients who have experienced family and domestic violence,,2614.0
2017-12-31,Dec17,Number of clients with a current mental health issue,,1354.0
2017-12-31,Dec17,Number of clients with problematic drug or alcohol issues,,614.0
