DATE,MONTH,SEX,AGE GROUP,MEASURE,VALUE
2017-07-31,Jul17,Male,45 to 49,,170.0
2017-07-31,Jul17,Male,5 to 9,,223.0
2017-07-31,Jul17,Male,50 to 54,,139.0
2017-07-31,Jul17,Male,55 to 59,,74.0
2017-07-31,Jul17,Male,60 to 64,,55.0
2017-07-31,Jul17,Male,65+,,78.0
2017-07-31,Jul17,Male,40 to 44,,171.0
2017-07-31,Jul17,Male,35 to 39,,156.0
2017-07-31,Jul17,Male,30 to 34,,153.0
2017-07-31,Jul17,Male,25 to 29,,120.0
2017-07-31,Jul17,Female,0 to 4,,267.0
2017-07-31,Jul17,Female,10 to 14,,186.0
2017-07-31,Jul17,Female,15 to 19,,369.0
2017-07-31,Jul17,Female,20 to 24,,395.0
2017-07-31,Jul17,Female,25 to 29,,375.0
2017-07-31,Jul17,Female,30 to 34,,436.0
2017-07-31,Jul17,Female,35 to 39,,430.0
2017-07-31,Jul17,Female,40 to 44,,358.0
2017-07-31,Jul17,Female,45 to 49,,270.0
2017-07-31,Jul17,Female,50 to 54,,166.0
2017-07-31,Jul17,Female,55 to 59,,100.0
2017-07-31,Jul17,Female,60 to 64,,64.0
2017-07-31,Jul17,Female,65+,,85.0
2017-07-31,Jul17,Male,0 to 4,,312.0
2017-07-31,Jul17,Male,10 to 14,,164.0
2017-07-31,Jul17,Male,15 to 19,,224.0
2017-07-31,Jul17,Male,20 to 24,,161.0
2017-07-31,Jul17,Female,5 to 9,,231.0
2017-08-31,Aug17,Female,10 to 14,,194.0
2017-08-31,Aug17,Female,0 to 4,,294.0
2017-08-31,Aug17,Male,30 to 34,,151.0
2017-08-31,Aug17,Male,25 to 29,,113.0
2017-08-31,Aug17,Male,20 to 24,,155.0
2017-08-31,Aug17,Male,15 to 19,,222.0
2017-08-31,Aug17,Male,10 to 14,,157.0
2017-08-31,Aug17,Male,0 to 4,,292.0
2017-08-31,Aug17,Female,65+,,83.0
2017-08-31,Aug17,Male,35 to 39,,159.0
2017-08-31,Aug17,Female,55 to 59,,93.0
2017-08-31,Aug17,Female,5 to 9,,217.0
2017-08-31,Aug17,Female,45 to 49,,275.0
2017-08-31,Aug17,Female,40 to 44,,370.0
2017-08-31,Aug17,Female,35 to 39,,442.0
2017-08-31,Aug17,Female,30 to 34,,437.0
2017-08-31,Aug17,Female,25 to 29,,423.0
2017-08-31,Aug17,Female,20 to 24,,402.0
2017-08-31,Aug17,Female,15 to 19,,365.0
2017-08-31,Aug17,Female,50 to 54,,167.0
2017-08-31,Aug17,Male,40 to 44,,187.0
2017-08-31,Aug17,Female,60 to 64,,48.0
2017-08-31,Aug17,Male,5 to 9,,217.0
2017-08-31,Aug17,Male,45 to 49,,170.0
2017-08-31,Aug17,Male,50 to 54,,131.0
2017-08-31,Aug17,Male,60 to 64,,51.0
2017-08-31,Aug17,Male,65+,,78.0
2017-08-31,Aug17,Male,55 to 59,,95.0
2017-09-30,Sep17,Male,50 to 54,,127.0
2017-09-30,Sep17,Male,55 to 59,,79.0
2017-09-30,Sep17,Male,60 to 64,,44.0
2017-09-30,Sep17,Male,65+,,73.0
2017-09-30,Sep17,Male,5 to 9,,214.0
2017-09-30,Sep17,Male,45 to 49,,184.0
2017-09-30,Sep17,Female,0 to 4,,259.0
2017-09-30,Sep17,Male,35 to 39,,190.0
2017-09-30,Sep17,Female,10 to 14,,166.0
2017-09-30,Sep17,Female,15 to 19,,379.0
2017-09-30,Sep17,Female,20 to 24,,387.0
2017-09-30,Sep17,Female,25 to 29,,382.0
2017-09-30,Sep17,Female,30 to 34,,445.0
2017-09-30,Sep17,Male,40 to 44,,166.0
2017-09-30,Sep17,Female,40 to 44,,334.0
2017-09-30,Sep17,Female,45 to 49,,258.0
2017-09-30,Sep17,Female,5 to 9,,191.0
2017-09-30,Sep17,Female,35 to 39,,409.0
2017-09-30,Sep17,Female,55 to 59,,98.0
2017-09-30,Sep17,Female,50 to 54,,171.0
2017-09-30,Sep17,Male,25 to 29,,112.0
2017-09-30,Sep17,Male,20 to 24,,153.0
2017-09-30,Sep17,Male,15 to 19,,219.0
2017-09-30,Sep17,Male,30 to 34,,147.0
2017-09-30,Sep17,Male,0 to 4,,265.0
2017-09-30,Sep17,Female,65+,,80.0
2017-09-30,Sep17,Female,60 to 64,,48.0
2017-09-30,Sep17,Male,10 to 14,,156.0
2017-10-31,Oct17,Male,30 to 34,,166.0
2017-10-31,Oct17,Male,25 to 29,,117.0
2017-10-31,Oct17,Male,20 to 24,,155.0
2017-10-31,Oct17,Male,15 to 19,,232.0
2017-10-31,Oct17,Male,10 to 14,,172.0
2017-10-31,Oct17,Male,0 to 4,,292.0
2017-10-31,Oct17,Female,65+,,79.0
2017-10-31,Oct17,Female,60 to 64,,65.0
2017-10-31,Oct17,Female,15 to 19,,390.0
2017-10-31,Oct17,Female,50 to 54,,191.0
2017-10-31,Oct17,Female,5 to 9,,216.0
2017-10-31,Oct17,Female,45 to 49,,290.0
2017-10-31,Oct17,Female,40 to 44,,370.0
2017-10-31,Oct17,Female,35 to 39,,460.0
2017-10-31,Oct17,Female,30 to 34,,439.0
2017-10-31,Oct17,Female,25 to 29,,391.0
2017-10-31,Oct17,Female,20 to 24,,396.0
2017-10-31,Oct17,Male,35 to 39,,190.0
2017-10-31,Oct17,Female,55 to 59,,102.0
2017-10-31,Oct17,Male,40 to 44,,181.0
2017-10-31,Oct17,Male,5 to 9,,230.0
2017-10-31,Oct17,Male,45 to 49,,189.0
2017-10-31,Oct17,Male,65+,,80.0
2017-10-31,Oct17,Male,60 to 64,,56.0
2017-10-31,Oct17,Male,55 to 59,,77.0
2017-10-31,Oct17,Male,50 to 54,,115.0
2017-10-31,Oct17,Female,10 to 14,,187.0
2017-10-31,Oct17,Female,0 to 4,,274.0
